"id","submitdate","lastpage","startlanguage","seed","refurl","G01Q18","proceed","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G02Q07","G01Q08[SQ001]","G01Q08[SQ002]","G01Q08[SQ003]","G01Q08[other]","G02Q09[SQ001]","G02Q09[SQ002]","G02Q09[SQ003]","G02Q09[SQ004]","G02Q09[SQ005]","G02Q09[SQ009]","G02Q09[SQ006]","G02Q09[SQ007]","G02Q09[SQ008]","G02Q09[other]","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q11[SQ001]","G03Q11[SQ002]","G03Q11[SQ003]","G03Q11[SQ004]","G03Q11[other]","G03Q12[SQ001]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G03Q13[SQ001]","G03Q13[SQ002]","G03Q13[SQ003]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ006]","G01Q15[SQ001]","G01Q15[SQ002]","G01Q15[SQ003]","G01Q15[SQ004]","G01Q15[SQ005]","G01Q15[SQ006]","G01Q15[SQ007]","G01Q15[SQ008]","G01Q15[SQ009]","G01Q15[SQ010]","G05Q22[SQ001]","G05Q22[SQ002]","G05Q22[SQ003]","G05Q22[SQ004]","G05Q22[SQ005]","G05Q22[SQ006]","G05Q22[SQ007]","G05Q22[SQ008]","G05Q22[SQ009]","G05Q22[SQ010]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ006]","G01Q21[SQ007]","interviewtime","groupTime1719","G01Q18Time","proceedTime","groupTime1713","G01Q01Time","G01Q02Time","G01Q03Time","G01Q04Time","G01Q05Time","G01Q06Time","groupTime1714","G02Q07Time","G01Q08Time","G02Q09Time","G02Q10Time","groupTime1715","G03Q11Time","G03Q12Time","G03Q13Time","G05Q16Time","groupTime1716","G04Q14Time","G01Q15Time","groupTime1720","G05Q22Time","groupTime1718","G06Q17Time","G07Q20Time","G01Q21Time"
"4","1980-01-01 00:00:00","7","en","785217689","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","Yes","No","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Sometimes","Yes","Yes","Yes","","Yes","Yes","No","Yes","Yes","Yes","No","No","No","","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","No","No","No","Yes","","Agree","Agree","Strongly disagree","Neutral","Completely","Moderately","Not at all","Always","Always","Rarely","Never","Often","Sometimes","Never","Never","Agree","Neutral","Neutral","Strongly disagree","Neutral","Neutral","""Of course you're a girl, well it's GG""(me)","""you should suck some more dick and not touch technology""(else)","""men letting loose women must be reportable""(else)","""why don't you stick to underdesk-support?""(else)","""go make me a sandwich""(me)","","","","","","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","","","","","","Agender","","18 - 25 years old","Yes","No","No","No","No","No","No","640.11","6.59",,,"60.14",,,,,,,"104.65",,,,,"180",,,,,"246.46",,,"26.13",,"16.14",,,
"6","1980-01-01 00:00:00","7","en","84074700","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","Rarely","Yes","No","No","","No","No","No","No","No","No","No","Yes","No","","6 (Very Severe)","6 (Very Severe)","5 (Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","No","Yes","No","No","","Strongly agree","Agree","Disagree","Strongly agree","Completely","Moderately","Slightly","Always","Always","Rarely","Rarely","Often","Often","Never","Sometimes","Agree","Neutral","Strongly disagree","Disagree","Agree","Agree","Do you have Instagram? Snapchat? (me)","[crouches in front of me, makes kissing noises in voice chat] (me)","Stop talking! [after I said ""Hi team""] (me)","I identify as a sandwich. (me)","Oh yeah [moans in VC] (me)","","","","","","3 (Mild)","6 (Very Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","","","","","","Non-binary","","25 - 35 years old","Yes","No","No","No","No","No","No","776.12","11.16",,,"67.3",,,,,,,"142.12",,,,,"92.35",,,,,"394.91",,,"49.62",,"18.66",,,
"7","1980-01-01 00:00:00","7","en","138183782","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","Sometimes","Yes","Yes","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","5 (Severe)","5 (Severe)","4 (Moderate)","5 (Severe)","5 (Severe)","4 (Moderate)","1 (Not Severe at All)","1 (Not Severe at All)","Yes","No","No","No","","Neutral","Disagree","Neutral","Agree","Slightly","Not at all","Not at all","Rarely","Rarely","Never","Often","Sometimes","Often","Often","Often","Agree","Agree","Neutral","Agree","Agree","Neutral","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","No","No","No","Yes","No","No","No","193.29","4.3",,,"24.23",,,,,,,"46.28",,,,,"69.88",,,,,"23.23",,,"12.77",,"12.6",,,
"9","1980-01-01 00:00:00","7","en","801485386","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Often","Yes","Yes","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","No","No","No","Yes","","Strongly agree","Disagree","Neutral","Neutral","Slightly","Not at all","Not at all","Always","Always","Rarely","Rarely","Often","Often","Rarely","Rarely","Strongly agree","Agree","Agree","Disagree","Disagree","Strongly disagree","go back to the kitchen","i gonna rape you","he is gay","die to cancer","moahing in the mic","fuck you transgender shit","","","","","4 (Moderate)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","3101.91","9.93",,,"186.68",,,,,,,"277.41",,,,,"2430.02",,,,,"166.88",,,"18.42",,"12.57",,,
"10","1980-01-01 00:00:00","7","en","1663925118","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Never","No","No","No","none","No","No","No","No","No","No","No","No","Yes","","4 (Moderate)","4 (Moderate)","5 (Severe)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Yes","No","Yes","No","","Disagree","Disagree","Disagree","Disagree","Completely","Moderately","Moderately","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","""suck my dick"" (said to me)","""go to the kitchen"" (said to me)","""make me a sandwich"" (said to me)",""" why are women always like that?"" (said to me)","""why are you not in the kitchen?"" (said to me)","""since when you have wifi in the kitchen?"" (said to me)","","","","","6 (Very Severe)","4 (Moderate)","4 (Moderate)","5 (Severe)","4 (Moderate)","4 (Moderate)","4 (Moderate)","","","","Agender","","18 - 25 years old","Yes","No","No","No","No","No","No","1001.73","42.68",,,"65.08",,,,,,,"185.46",,,,,"146.4",,,,,"494.35",,,"37.7",,"30.06",,,
"12","1980-01-01 00:00:00","7","en","365274445","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","No","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Sometimes","Yes","No","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","No","No","","5 (Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","5 (Severe)","4 (Moderate)","3 (Mild)","3 (Mild)","No","No","No","Yes","","Neutral","Agree","Disagree","Strongly agree","Significantly","Significantly","Slightly","Often","Sometimes","Sometimes","Often","Often","Often","Rarely","Sometimes","Agree","Agree","Neutral","Disagree","Agree","Agree","Ofc, you’re a girl","Go back to the kitchen","Can I get your snapchat ","Make me a sandwich ","I bet you’re fat and ugly","Kissing sounds directed at me","How much to show me your boobs","Stupid bitch","/","/","4 (Moderate)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","803.69","4.79",,,"48.14",,,,,,,"94",,,,,"332.16",,,,,"273.46",,,"39.19",,"11.95",,,
"14","1980-01-01 00:00:00","7","en","2455935","","","Yes","Yes","No","No","10 to 20 hours","Yes","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Always","No","No","No","none","No","No","No","No","No","No","No","No","Yes","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","No","No","No","Yes","","Strongly agree","Strongly disagree","Agree","Strongly disagree","Not at all","Not at all","Not at all","Rarely","Never","Never","Never","Never","Never","Never","Never","Strongly disagree","Strongly disagree","Agree","Strongly agree","Neutral","Strongly disagree","are you female","","","","","","","","","","1 (Not Severe at All)","","","","","","","","","","Female","","","Yes","No","No","No","No","No","No","295.9","6.07",,,"45.01",,,,,,,"95.67",,,,,"72.29",,,,,"45.96",,,"16.52",,"14.38",,,
"15","1980-01-01 00:00:00","7","en","1697750735","","","Yes","Yes","No","Yes","Less than 5 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Always","No","No","No","didnt","No","No","No","No","No","No","No","No","Yes","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Yes","No","Yes","No","","Neutral","Agree","Disagree","Agree","Completely","Significantly","Moderately","Always","Always","Always","Always","Always","Always","Never","Never","Strongly agree","Strongly agree","Neutral","Strongly disagree","Neutral","Neutral","""go back the the kitchen""","""bitch""","","","","","","","","","4 (Moderate)","4 (Moderate)","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","872.26","8.11",,,"105.48",,,,,,,"346.57",,,,,"226.64",,,,,"123.67",,,"46.9",,"14.89",,,
"16","1980-01-01 00:00:00","7","en","2065485292","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Often","Yes","Yes","No","","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","No","No","No","Yes","","Strongly agree","Disagree","Agree","Strongly disagree","Not at all","Not at all","Not at all","Always","Always","Rarely","Rarely","Never","Never","Never","Rarely","Strongly agree","Strongly agree","Neutral","Disagree","Neutral","Disagree","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","150.16","4.6",,,"22.14",,,,,,,"42.19",,,,,"41.82",,,,,"21.02",,,"10.69",,"7.7",,,
"17","1980-01-01 00:00:00","7","en","391710404","","","Yes","Yes","No","No","5 to 10 hours","Yes","No","No","No","Yes","No","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Often","No","No","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","No","No","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","6 (Very Severe)","No","No","No","Yes","","Strongly agree","Disagree","Neutral","Agree","Not at all","Not at all","Not at all","Often","Always","Always","Always","Always","Always","Never","Often","Agree","Neutral","Neutral","Strongly agree","Neutral","Neutral","go back to the kitchen","your voice is makes me hard, can you suck on my dick and have e sex with me","gg its a girl","have my babies","you are so sexy im about to bust ","","","","","","4 (Moderate)","7 (Extremely Severe)","3 (Mild)","7 (Extremely Severe)","7 (Extremely Severe)","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","362.39","10.32",,,"45.72",,,,,,,"66.53",,,,,"86.91",,,,,"109.67",,,"21.46",,"21.78",,,
