"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"1","1980-01-01 00:00:00","6","en","312306646","","Yes","No","Yes","No","Yes","5 to 10 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Neutral","Strongly agree","Agree","Disagree","Agree","Always","Often","Never","Never","Never","Never","Never","Never","Strongly disagree","Agree","Agree","Neutral","Agree","Neutral","Agree","","4 (Moderate)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"2","1980-01-01 00:00:00","6","en","1604570157","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 (Very Mild)","Real","1 (Not Severe at All)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","5 (Severe)","Real","1 (Not Severe at All)","Not Real","3 (Mild)","Real","4 (Moderate)","Not Real","6 (Very Severe)","Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"3","1980-01-01 00:00:00","6","en","1889352802","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","2 (Very Mild)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","3 (Mild)","3 (Mild)","1 (Not Severe at All)","1 (Not Severe at All)","Disagree","Disagree","Disagree","Neutral","Strongly disagree","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Strongly disagree","Strongly disagree","Agree","Disagree","Neutral","Strongly agree","Strongly disagree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Not Real","","","5 (Severe)","Real","6 (Very Severe)","Not Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"7","1980-01-01 00:00:00","6","en","1292570482","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","2 (Very Mild)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","Strongly agree","Agree","Neutral","Strongly disagree","Agree","Always","Always","Rarely","Sometimes","Always","Often","Rarely","Sometimes","Strongly disagree","Neutral","Agree","Agree","Strongly disagree","Agree","Disagree","","4 (Moderate)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","","","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"8","1980-01-01 00:00:00","6","en","131751139","","Yes","No","Yes","No","Yes","10 to 20 hours","No","No","No","Yes","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Always","Always","Sometimes","Rarely","Always","Often","Sometimes","Rarely","Strongly disagree","Disagree","Agree","Strongly disagree","Agree","Neutral","Disagree","","4 (Moderate)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","7 (Extremely Severe)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"10","1980-01-01 00:00:00","6","en","1830194969","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","4 (Moderate)","3 (Mild)","5 (Severe)","2 (Very Mild)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","Strongly agree","Agree","Strongly disagree","Disagree","Strongly disagree","Often","Sometimes","Sometimes","Often","Sometimes","Always","Often","Sometimes","Neutral","Agree","Strongly disagree","Agree","Strongly disagree","Disagree","Strongly agree","","1 (Not Severe at All)","Real","5 (Severe)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","1 (Not Severe at All)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"11","1980-01-01 00:00:00","6","en","1943326327","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","2 (Very Mild)","1 (Not Severe at All)","2 (Very Mild)","3 (Mild)","2 (Very Mild)","4 (Moderate)","1 (Not Severe at All)","1 (Not Severe at All)","Strongly agree","Strongly agree","Strongly disagree","Disagree","Strongly disagree","Always","Always","Never","Never","Never","Never","Never","Never","Strongly disagree","Neutral","Neutral","Agree","Strongly disagree","Strongly agree","Strongly disagree","","1 (Not Severe at All)","Real","4 (Moderate)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","2 (Very Mild)","Real","3 (Mild)","","1 (Not Severe at All)","","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","1 (Not Severe at All)","Not Real","","Real","2 (Very Mild)","Real","1 (Not Severe at All)","","2 (Very Mild)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"13","1980-01-01 00:00:00","6","en","1147605142","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","2 (Very Mild)","Agree","Agree","Disagree","Agree","Neutral","Often","Always","Rarely","Rarely","Sometimes","Sometimes","Never","Never","Neutral","Agree","Neutral","Neutral","Disagree","Strongly agree","Agree","","2 (Very Mild)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","2 (Very Mild)","Real","3 (Mild)","Real","2 (Very Mild)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"15","1980-01-01 00:00:00","6","en","1592030856","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","No","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","1 (Not Severe at All)","1 (Not Severe at All)","4 (Moderate)","3 (Mild)","3 (Mild)","4 (Moderate)","3 (Mild)","4 (Moderate)","Strongly agree","Agree","Strongly disagree","Disagree","Agree","Always","Often","Always","Always","Often","Often","Often","Often","Strongly disagree","Agree","Neutral","Agree","Strongly disagree","Neutral","Agree","","2 (Very Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","1 (Not Severe at All)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"16","1980-01-01 00:00:00","6","en","557447119","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","2 (Very Mild)","Agree","Agree","Strongly disagree","Disagree","Agree","Often","Often","Rarely","Rarely","Often","Often","Rarely","Rarely","Disagree","Neutral","Agree","Disagree","Neutral","Agree","Agree","","2 (Very Mild)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","5 (Severe)","Real","6 (Very Severe)","Real","","","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
