"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q20","G01Q32","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"3","1980-01-01 00:00:00","6","en","1438268346","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Sentinel","Silver-Gold","","5 (Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","4 (Moderate)","5 (Severe)","Agree","Agree","Disagree","Strongly disagree","Disagree","Often","Often","Never","Never","Often","Sometimes","Never","Disagree","Agree","Neutral","Agree","Disagree","Agree","Disagree","","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","Female","","Under 18 years old","Yes","No","No","No","No","No"
"5","1980-01-01 00:00:00","6","en","20014473","","Yes","No","Yes","No","Less than 5 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","No, I don't identify as a gamer, even though I play games.","Controller","","","5 (Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","4 (Moderate)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","Neutral","Agree","Disagree","Strongly disagree","Disagree","","","","","","","","Disagree","Strongly agree","Neutral","Disagree","Agree","Disagree","Agree","","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","","","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","","No","Yes","No","No","No","No"
"8","1980-01-01 00:00:00","6","en","639262138","","Yes","No","Yes","No","More than 20 hours","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Duelist","Platinum-Diamond","","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","Strongly agree","Strongly agree","Agree","Disagree","Strongly agree","Always","Always","Always","Always","Always","Always","Always","Disagree","Agree","Agree","Disagree","Agree","Strongly agree","Disagree","","","Real","4 (Moderate)","","7 (Extremely Severe)","","6 (Very Severe)","","5 (Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","5 (Severe)","","5 (Severe)","","Female","","Under 18 years old","No","No","No","Yes","No","No"
"10","1980-01-01 00:00:00","6","en","2100098701","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Duelist","Ascendant-Immortal1","","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","2 (Very Mild)","Neutral","Disagree","Strongly disagree","Disagree","Strongly disagree","Always","Always","Never","Never","Always","Never","Never","Strongly disagree","Agree","Disagree","Agree","Strongly disagree","Neutral","Agree","","2 (Very Mild)","Not Real","2 (Very Mild)","Real","3 (Mild)","Not Real","4 (Moderate)","Real","3 (Mild)","Real","","Not Real","3 (Mild)","Real","4 (Moderate)","Not Real","3 (Mild)","Not Real","5 (Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","1 (Not Severe at All)","Real","Male","","18 - 25 years old","No","No","Yes","No","No","No"
"11","1980-01-01 00:00:00","6","en","554790474","","Yes","No","Yes","No","More than 20 hours","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Duelist","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Agree","Strongly agree","Neutral","Disagree","Agree","Always","Always","Always","Always","Always","Always","Rarely","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Neutral","Strongly agree","Strongly disagree","","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","25 - 35 years old","No","No","No","Yes","No","No"
"13","1980-01-01 00:00:00","6","en","1201670324","","Yes","No","Yes","No","10 to 20 hours","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Sentinel","Iron-Bronze","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Agree","Agree","Strongly disagree","Neutral","Agree","Always","Always","Sometimes","Sometimes","Often","Often","Rarely","Strongly disagree","Agree","Agree","Disagree","Neutral","Strongly disagree","Neutral","","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","6 (Very Severe)","Real","6 (Very Severe)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","6 (Very Severe)","Real","Male","","Under 18 years old","Yes","No","No","No","No","No"
"14","1980-01-01 00:00:00","6","en","1811205501","","Yes","No","Yes","No","10 to 20 hours","No","No","Yes","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Initiator","Platinum-Diamond","","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Neutral","Strongly agree","Disagree","Strongly disagree","Agree","Sometimes","Often","Rarely","Never","Sometimes","Sometimes","Never","Strongly disagree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","","3 (Mild)","","6 (Very Severe)","","6 (Very Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","5 (Severe)","","6 (Very Severe)","","5 (Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","5 (Severe)","","7 (Extremely Severe)","","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"15","1980-01-01 00:00:00","6","en","318930297","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","No, I don't identify as a gamer, even though I play games.","Controller","Iron-Bronze","","5 (Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","Agree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Rarely","Sometimes","Never","Never","Often","Often","Never","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","","1 (Not Severe at All)","","4 (Moderate)","","3 (Mild)","","6 (Very Severe)","","4 (Moderate)","","3 (Mild)","","3 (Mild)","","4 (Moderate)","","5 (Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","4 (Moderate)","","3 (Mild)","","1 (Not Severe at All)","","Male","","Under 18 years old","No","No","No","Yes","No","No"
"16","1980-01-01 00:00:00","6","en","173146722","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","No, I don't identify as a gamer, even though I play games.","Initiator","Ascendant-Immortal1","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Neutral","Strongly agree","Strongly agree","Strongly disagree","Agree","Always","Always","Rarely","Never","Always","Often","Rarely","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Strongly agree","Disagree","","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No"
"17","1980-01-01 00:00:00","6","en","667808333","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Duelist","Ascendant-Immortal1","","5 (Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","7 (Extremely Severe)","Disagree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Often","Sometimes","Rarely","Never","Sometimes","Never","Never","Strongly agree","Strongly disagree","Agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","","4 (Moderate)","Real","5 (Severe)","Real","3 (Mild)","Real","6 (Very Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","6 (Very Severe)","Real","Female","","Under 18 years old","Yes","No","No","No","No","No"
"19","1980-01-01 00:00:00","6","en","10536691","","Yes","No","Yes","No","10 to 20 hours","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Sentinel","Platinum-Diamond","","4 (Moderate)","1 (Not Severe at All)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","6 (Very Severe)","Neutral","Agree","Neutral","Neutral","Neutral","Always","Always","Often","Sometimes","Sometimes","Sometimes","Sometimes","Strongly disagree","Neutral","Strongly agree","Neutral","Strongly agree","Agree","Strongly agree","","3 (Mild)","Real","","Real","2 (Very Mild)","Not Real","5 (Severe)","Real","1 (Not Severe at All)","Real","3 (Mild)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","6 (Very Severe)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"20","1980-01-01 00:00:00","6","en","1467982965","","Yes","Yes","No","No","","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 (Very Mild)","Real","3 (Mild)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"21","1980-01-01 00:00:00","6","en","1275552230","","Yes","No","Yes","No","Less than 5 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Duelist","Platinum-Diamond","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","Neutral","Strongly agree","Agree","Disagree","Strongly agree","Always","Always","Rarely","Often","Always","Often","Rarely","Strongly disagree","Disagree","Agree","Strongly disagree","Agree","Strongly agree","Neutral","","1 (Not Severe at All)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","Non-binary","","25 - 35 years old","No","No","No","Yes","No","No"
"23","1980-01-01 00:00:00","6","en","506072929","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Initiator","Platinum-Diamond","","3 (Mild)","1 (Not Severe at All)","5 (Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","4 (Moderate)","4 (Moderate)","Agree","Agree","Neutral","Agree","Disagree","Sometimes","Sometimes","Rarely","Rarely","Often","Often","Rarely","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Agree","","4 (Moderate)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","5 (Severe)","Real","1 (Not Severe at All)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","2 (Very Mild)","Not Real","6 (Very Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"24","1980-01-01 00:00:00","6","en","2064052713","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","4 (Moderate)","2 (Very Mild)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","Agree","Strongly agree","Disagree","Strongly disagree","Neutral","Always","Often","Often","Rarely","Often","Never","Never","Agree","Disagree","Agree","Disagree","Disagree","Strongly agree","Strongly disagree","","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"26","1980-01-01 00:00:00","6","en","1719189925","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","4 (Moderate)","4 (Moderate)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","5 (Severe)","1 (Not Severe at All)","5 (Severe)","Strongly agree","Neutral","Agree","Neutral","Strongly agree","Often","Often","Always","Always","Rarely","Rarely","Always","Neutral","Neutral","Agree","Disagree","Agree","Disagree","Strongly disagree","","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","3 (Mild)","Not Real","4 (Moderate)","Real","Agender","","25 - 35 years old","No","No","No","Yes","No","No"
